SKUPINA;Kat_st;Jama-ime;Jama-tip;Ndm_vis;Globina;Dolžina;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000;T (povpr.letna) 81-2000;Količina padavin (kor.povpr.letna) 81-2000;Chol_STEVILO;Chol1_mm;Chol2_mm;Chol3_mm;Chol4_mm;Chol5_mm;Chol6_mm;Cara_STEVILO;Cara1_mm;Cara2_mm;Cara3_mm;Cara4_mm;Cara5_mm;;;;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000
A4;522;Jama nad požiralnikom Ponikve;4,3 - jama z občasnim tokom in 5,2 - vodoravna jama;592;43;357;8-10;1300-1400;8-10;1200-1300;1;2,2;;;;;;0;;;;;;;;;;
A4;525;Kevderc pri Planinci;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;560;4;66;8-10;1600-1800;8-10;1600-1800;1;2,97;;;;;;3;5,55;5,6;6,75;;;;;;;
A4;529;Jama treh bratov pri Verdrengu;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;400;38;262;8-10;1600-1800;8-10;1600-1800;2;1,76;7;;;;;0;;;;;;;;;;
A4;534;Svinjska jama pri Dolenji vasi;4,2 - jama s stalnim tokom;575;42;436;8-10;1800-2000;8-10;1600-1800;1;1,76;;;;;;1;6,5;;;;;;;;;
A4;538;Jazbina nad Ložem;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;635;30;40;6-8;1600-1800;8-10;1500-1600;1;1,84;;;;;;1;7,25;;;;;;;;;
A4;539;Veternica;2,2 - jama občasni ponor;365;38;608;8-10;1400-1500;8-10;1400-1500;1;2,97;;;;;;1;4,5;;;;;;;;;
A4;541;Jama pri Sv. Treh Kraljih;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;815;70;769;6-8;2000-2600;8-10;1800-2000;1;2,97;;;;;;1;5,55;;;;;;;;;
A4;548;Šimnova jama;4,2 - jama s stalnim tokom;797;153;2054;6-8;1800-2000;6-8;1800-2000;1;2,5;;;;;;1;5,1;;;;;;;;;
A4;550;Golobina 1 ob poti v Lozo;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;632;23;66;8-10;1800-2000;8-10;1600-1800;1;1,9;;;;;;0;;;;;;;;;;
A4;551;Golobina 2 ob poti v Lozo ;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/ več etažna jama;632;20;107;8-10;1800-2000;8-10;1600-1800;0;;;;;;;2;6,5;6,1;;;;;;;;
A4;554;Jama 1 pri jamah za lesom;5,5 - stopnjasto brezno, poševno brezno;870;6;6;8-10;2000-2600;8-10;2000-2600;1;2,83;;;;;;1;7,2;;;;;;;;;
A5;555;Jama 2 pri jamah za lesom;5,5 - stopnjasto brezno, poševno brezno;870;8;10;8-10;2000-2600;8-10;2000-2600;0;;;;;;;1;7,20;;;;;;;;12,6;
A5;556;Brezen 4 pri Rijavcih;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;851;13;40;8-10;2000-2600;8-10;2000-2600;1;2,83;;;;;;2;5,55;7,20;;;;;;;12,6;
A5;561;Kebrova luknja;5,5 - stopnjasto brezno, poševno brezno;1410;132;177;4-6;1600-1800;4-6;1500-1600;1;2,97;;;;;;0;;;;;;;;;9,7;
A5;571;Viršnica;2,3 - jama občasni ponor ob stalnem toku;348;60;2796;8-10;1300-1400;8-10;1400-1500;2;1,76;7,00;;;;;0;;;;;;;;;9,6;
A5;576;Zelške jame;5,4 - brezno, 1,1 - jama stalni izvir;506;160;7338;8-10;1800-2000;8-10;1600-1800;0;;;;;;;1;6,50;;;;;;;;7,6;
A5;586;Jama na Kravjeku;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;475;25;38;8-10;1500-1600;8-10;1600-1800;1;2,93;;;;;;0;;;;;;;;;9,2;
A5;591;Jama s tremi vhodi, Brezno na Pečani, Spodnja snežnica ob poti na Pečno;5,2 - vodoravna jama;1395;7;30;2-4;2000-2600;4-6;2000-2600;2;2,50;3,65;;;;;1;6,30;;;;;;;;8,1;
A5;596;Snežno brezno pri Pečani;6,4 - brezno s stalnim ledom;1460;5;6;2-4;2000-2600;2-4;2000-2600;1;2,50;;;;;;1;6,30;;;;;;;;8,1;
A5;600;Francetovo brezence;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;679;26;38;6-8;1800-2000;6-8;1600-1800;1;1,58;;;;;;0;;;;;;;;;7,6;
A5;602;Ulenca;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;856;47;70;6-8;1800-2000;6-8;1600-1800;1;2,97;;;;;;2;6,15;7,50;;;;;;;7,6;
A5;628;Anžetova jama, onesnažena;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1029;10;37;6-8;1800-2000;6-8;1600-1800;2;1,86;2,45;;;;;1;6,15;;;;;;;;7,6;
A5;629;Bohkovo brezno;5,2 - vodoravna jama;417;11;36;8-10;1600-1800;8-10;1600-1800;1;3,05;;;;;;0;;;;;;;;;8,8;
A5;632;Bilpa 3;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;241;60;134;8-10;1600-1800;10-12;1600-1800;1;1,76;;;;;;0;;;;;;;;;8,7;
A5;633;Jama v Štegini;5,1 - spodmol, kevderc;269;5;40;8-10;1200-1300;10-12;1200-1300;1;2,10;;;;;;1;5,00;5,60;;;;;;;9,5;
A5;634;Potočka zijalka;5,2 - vodoravna jama;1630;21;108;2-4;1600-1800;2-4;1600-1800;1;2,97;;;;;;0;;;;;;;;; 3,3 (Uršlja Gora);
A5;635;Macesnikova zijalka;5,2 - vodoravna jama;1380;5;60;2-4;1600-1800;4-6;1600-1800;1;2,97;;;;;;0;;;;;;;;;3,3;
A5;638;Snežna jama pod Gostečnikovim stanom;6,1 - jama s stalnim ledom;1480;6;11;4-6;1600-1800;4-6;1500-1600;2;2,20;2,97;;;;;0;;;;;;;;;9,7;
A5;642;Jama za križem;5,2 - vodoravna jama;1450;10;30;4-6;2600-3200;4-6;2600-3200;4;2,50;2,88;3,37;3,48;;;1;6,20;;;;;;;;;
A5;643;Jama na južnem pobočju Pršivca;5,2 - vodoravna jama;1570;5;40;4-6;2600-3200;4-6;2600-3200;1;2,50;;;;;;1;5,10;;;;;;;;;
A5;644;Jama za Vahtam;5,2 - vodoravna jama;1420;10;34;4-6;2600-3200;4-6;2600-3200;2;2,50;2,88;;;;;1;6,20;;;;;;;;;
A5;647;Ledena jama 3 na južni strani Studorja;6,4 - brezno s stalnim ledom;1614;60;60;2-4;2600-3200;2-4;2600-3200;1;2,50;;;;;;0;;;;;;;;;;
A5;657;Lenarčičeva jama 1;5,1 - spodmol, kevderc;600;11;30;8-10;1600-1800;8-10;1600-1800;2;1,77;2,97;;;;;0;;;;;;;;;;
A5;666;Velika Knežja jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;630;33;164;8-10;1500-1600;8-10;1500-1600;2;1,76;5,00;;;;;0;;;;;;;;;;
A5;667;Mala Knežja jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;635;15;40;8-10;1500-1600;8-10;1500-1600;3;1,76;2,97;5,00;;;;0;;;;;;;;;;
A5;669;Ledena jama pri Kunču;6,1 - jama s stalnim ledom;768;42;81;6-8;1500-1600;8-10;1500-1600;5;1,76;2,97;5,00;5,50;7,00;;0;;;;;;;;;;
A5;671;Jama v Sopoti;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;555;10;33;8-10;1800-2000;8-10;1800-2000;0;;;;;;;1;6,00;;;;;;;;;
A5;672;Matjaževe kamre;5,4 - brezno;550;14;300;8-10;1800-2000;8-10;1800-2000;1;2,97;;;;;;2;5,95;6,00;;;;;;;;
A5;680;Dolga cerkev;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;470;11;31;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;1;5,20;;;;;;;;;
A5;730;Jama pri Ferdrengu;5,5 - stopnjasto brezno, poševno brezno;520;14;42;8-10;1600-1800;8-10;1600-1800;1;5,00;;;;;;0;;;;;;;;;;
A5;733;Kozja jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;800;26;104;6-8;2000-2600;8-10;2000-2600;2;1,58;1,77;;;;;1;7,50;;;;;;;;;
A5;734;Predjamski sistem;"4,2 - jama s stalnim tokom; 5,4 - brezno";491;168;13877;8-10;1800-2000;8-10;1800-2000;3;1,58;1,73;2,97;;;;3;6,05;6,80;7,50;;;;;;;
A5;735;Škocjanske jame;"2,1 - jama stalni ponor; 5,4 - brezno";271;254;6474;10-12;1500-1600;10-12;1500-1600;2;2,25;2,97;;;;;1;6,05;;;;;;;;;
A5;736;Dimnice;"4,2 - jama s stalnim tokom; 5,4 - brezno";565;134;6020;8-10;1600-1800;10-12;1600-1800;0;;;;;;;1;6,05;;;;;;;;;
A5;737;Vilenica;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;418;190;841;10-12;1500-1600;10-12;1500-1600;2;2,45;2,97;;;;;1;5,55;;;;;;;;;
A5;741;Divaška jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;430;89;682;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;;
A6;742;Velika ledena jama v Paradani;"5,6 - poševno in stopnjasto brezno; 6,1 - jama s stalnim ledom";1135;858;7311;6-8;2600-3200;6-8;2600-3200;4;3,25;3,65;5,83;6,00;;;3;5,55;6,05;6,60;;;;;;8,2;
A6;743;Volčja jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1057;60;250;6-8;2000-2600;6-8;2000-2600;6;1,58;1,73;2,97;3,25;5,83;6,00;1;6,8;;;;;;;;10,9;
A6;744;Beloglavka;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;560;58;344;8-10;1800-2000;8-10;1800-2000;1;1,86;;;;;;2;6,50;6,80;;;;;;;10,9;
A6;747;Postojnska jama;"5,4 - brezno; 2,3 - jama občasni ponor ob stalnem toku";530;115;24120;8-10;1800-2000;8-10;1600-1800;3;1,58;2,45;2,97;;;;1;6,05;;;;;;;;10,9;
A6;748;Planinska jama;"5,4 - brezno; 1,1 - jama stalni izvir";453;65;6859;8-10;1800-2000;8-10;1800-2000;3;1,86;2,45;2,97;;;;2;5,50;6,05;;;;;;;10,9;
A6;749;Osojca;"5,2 - vodoravna jama; 2,2 - jama občasni ponor";529;0;65;8-10;1800-2000;8-10;1800-2000;2;2,45;2,97;;;;;0;;;;;;;;;10,9;
A6;750;Mala ledena jama v Paradani;6,4 - brezno s stalnim ledom;1143;69;69;6-8;2000-2600;6-8;2600-3200;2;3,65;6,00;;;;;0;;;;;;;;;8,2;
A6;751;Ledenica pri Dolu;"5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama; 6,2 - jama z občasnim ledom";995;80;180;6-8;2000-2600;6-8;2000-2600;5;1,77;2,83;3,25;3,65;6,00;;4;5,9;6,05;6,6;7,20;;;;;8,2;
A6;752;Tekavča jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;635;8;80;6-8;1600-1800;8-10;1500-1600;0;;;;;;;1;7,25;;;;;;;;9,3;
A6;753;Golobinka pri Borovnici;"4,3 - jama z občasnim tokom; 5,2 - vodoravna jama";700;67;204;6-8;1600-1800;8-10;1600-1800;1;2,97;;;;;;2;5,55;6,75;;;;;;;10,9;
A6;754;Zgornja Tomičeva jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;445;9;28;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;0;;;;;;;;;12,5;
A6;755;"Oprešnikova jama
";5,6 - poševno in stopnjasto brezno;350;15;19;8-10;1300-1400;8-10;1300-1400;1;2,10;;;;;;1;5,20;;;;;;;;12,5;
A6;756;Studenška jama;1,1 - jama stalni izvir;316;2;46;8-10;1300-1400;10-12;1300-1400;0;;;;;;;1;5,20;;;;;;;;12,5;
A6;757;Boštonova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;325;10;30;8-10;1300-1400;10-12;1300-1400;1;2,10;;;;;;1;5,20;;;;;;;;12,5;
A6;758;Lovrišnikova jama;5,2 - vodoravna jama;480;2;12;8-10;1300-1400;8-10;1300-1400;2;1,80;2,10;;;;;0;;;;;;;;;12,5;
A6;759;Jama v Kalah;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;620;12;21;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;0;;;;;;;;;12,5;
A6;760;Stara jama;1,2 - jama občasni izvir, bruhalnik;366;0;18;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;1;5,20;;;;;;;;12,5;
A6;763;Arneževa luknja;5,2 - vodoravna jama;480;13;815;8-10;1500-1600;8-10;1400-1500;1;2,95;;;;;;2;5,30;5,30;;;;;;;10,5;
A6;765;Velika Lebinca;1,1 - jama stalni izvir;421;37;567;8-10;1500-1600;8-10;1400-1500;1;2,95;;;;;;1;5,7;;;;;;;;10,5;
A6;769;Boltačeva jama;5,1 - spodmol, kevderc;463;4;13;8-10;1300-1400;8-10;1300-1400;1;2,1;;;;;;0;;;;;;;;;12,5;
A6;770;Čajžova jama;5,1 - spodmol, kevderc;475;5;10;8-10;1300-1400;8-10;1300-1400;1;2,1;;;;;;0;;;;;;;;;12,5;
A6;772;Sovenca v Globočici;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;410;12;17;8-10;1300-1400;8-10;1300-1400;1;2,1;;;;;;0;;;;;;;;;12,5;
A6;773;Severjevo brezno;5,5 - stopnjasto brezno, poševno brezno;490;10;10;8-10;1300-1400;8-10;1300-1400;1;2,1;;;;;;1;5,2;;;;;;;;12,5;
A6;776;"Mačkovec";5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;450;20;69;8-10;1300-1400;8-10;1300-1400;1;2,1;;;;;;1;5,2;;;;;;;;12,5;
A6;778;Požiralnik 2 v Škofovem lomu;2,2 - jama občasni ponor;441;11;66;8-10;1800-2000;8-10;1600-1800;0;;;;;;;1;5,8;;;;;;;;10,7;
A6;779;Otoška jama;4,2 - jama s stalnim tokom;531;25;631;8-10;1800-2000;8-10;1600-1800;2;1,58;2,45;;;;;0;;;;;;;;;10,8;
A6;781;Ledena jama pod Magdaleno goro;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;573;25;632;8-10;1800-2000;8-10;1800-2000;1;2,97;;;;;;0;;;;;;;;;9,1;
A6;782;Bošnarjev brezen;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;895;46;102;6-8;2000-2600;8-10;2000-2600;1;2,83;;;;;;2;5,55;7,2;;;;;;;8;
A6;783;Ledenica v Globoščaku;5,1 - spodmol, kevderc;532;56;130;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;0;;;;;;;;;9,1;
A6;784;Markova jama;5,2 - vodoravna jama;470;20;30;8-10;1800-2000;8-10;1800-2000;1;2,97;;;;;;0;;;;;;;;;11,3;
A6;795;Konečka Otlica;5,2 - vodoravna jama;745;12;30;6-8;1400-1500;6-8;1400-1500;1;2,97;;;;;;0;;;;;;;;;10,2;
A6;804;Zadlaška jama;5,2 - vodoravna jama;298;25;241;10-12;2000-2600;10-12;2000-2600;0;;;;;;;2;5,7;5,5;;;;;;;9,9;
A6;805;Zidanica v Žlebeh;1,1 -  jama stalni izvir;468;10;39;8-10;2000-2600;8-10;2000-2600;1;2,8;;;;;;0;;;;;;;;;8;
A6;806;Krasnica;4,3;460;26;197;8-10;2000-2600;8-10;2000-2600;2;3,6;2,8;;;;;1;6;;;;;;;;8;
A6;817;Jama v Globinah;5,3-  in  2,2;783;52;192;6-8;2000-2600;8-10;2000-2600;1;2,97;;;;;;2;5,55;6,6;;;;;;;10,7;
B1;820;Magdalena jama;4,2 - jama s stalnim lokom;561;89;1395;8-10;1800-2000;8-10;1800-2000;1;2,97;;;;;;1;6,5;;;;;;;;;
B1;821;Turjeva jama;5,2 - vodoravna jama;253;47;498;10-12;2600-3200;10-12;2600-3200;1;3,32;;;;;;4;4,2;5,6;5,95;6,15;;;;;;
B1;822;Snežna jama nad Svinsko planino;6,6 - brezno s snegom;1275;10;15;4-6;2600-3200;6-8;2600-3200;1;3,32;;;;;;0;;;;;;;;;;
B1;823;Jama pod Smoganico;1,1 - jama stalni izvir;505;15;600;8-10;2000-2600;10-12;2000-2600;0;;;;;;;2;4,9;6,45;;;;;;;;
B1;825;Snežnica pri Kaninski koči;6,3 - jama s snegom;1811;6;8;2-4;3200-4000;2-4;3200-4000;1;5,9;;;;;;2;2,68;3,48;;;;;;;;
B1;828;Divja jama nad Plavmi;5,3 - brezno z jamo, jama z breznom, poševna jama z etažami in brezni/več etažna jama // 4,1 - jama z bazeni nakapane vode;308;35;125;10-12;2000-2600;10-12;2000-2600;0;;;;;;;1;7,6;;;;;;;;;
B1;831;Grdanji skedenj;5,1 - spodmol, kevderc;487;15;51;8-10;1400-1500;8-10;1400-1500;1;1,76;;;;;;0;;;;;;;;;;
B1;832;Jama pri Radohi;5,6 - poševno in stopnjasto brezno;476;41;80;8-10;1400-1500;8-10;1300-1400;1;5;;;;;;0;;;;;;;;;;
B1;835;Jama nad rudnikom Pri Štolnu;4,2 - jama s stalnim tokom;1250;199;685;4-6;2600-3200;4-6;2600-3200;1;3,32;;;;;;1;6,1;;;;;;;;;
B1;836;Jama v rudniku Pri Štolnu;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1235;29;805;4-6;2600-3200;4-6;2600-3200;1;3,32;;;;;;1;6,1;;;;;;;;;
B1;841;Pršlanova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;215;111;238;12-14;1500-1600;12-14;1400-1500;1;2,25;;;;;;0;;;;;;;;;;
B1;848;Velika Kozinska jama;5,6 - poševno in stopnjasto brezno;482;113;665;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;;
B1;878;Markov spodmol;2.3 - jama občasni ponor ob stalnem toku;556;61;868;8-10;1800-2000;8-10;1600-1800;2;1,9;2,45;;;;;2;6,1;6,5;;;;;;;;
B1;881;Medvednjak;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;520;129;1092;10-12;1500-1600;10-12;1500-1600;1;1,9;;;;;;0;;;;;;;;;;
B1;889;Ovčja jama;5,2 - vodoravna jama;595;1;29;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B1;891;Curka jama;5,2 - vodoravna jama;550;10;106;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;2;5,9;6,5;;;;;;;;
B1;892;Bruhalnik pri Mrzli jami pri Prestranku;1,2 - jama občasni izvir, bruhalnik;532;2;30;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;0;;;;;;;;;;
B1;894;Brezno pri Pretrti jami;5,6 - poševno in stopnjasto brezno;590;20;50;8-10;1800-2000;8-10;1600-1800;2;2,54;2,97;;;;;1;6,5;;;;;;;;;
B1;896;Polšja jama ;5,3 - brezno z jamo;595;18;86;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;2;5,9;6,5;;;;;;;;
B1;897;Jama Sv. Janeza pri Prestranku;5,3 - brezno z jamo;590;10;71;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;2;5,9;6,5;;;;;;;;
B1;898;Spodmol pri jami Sv. Janeza;5,1 - spodmol, kevderc;595;1;14;8-10;1800-2000;8-10;1600-1800;1;2,25;;;;;;0;;;;;;;;;;
B1;899;Strmi spodmol;5,3 - brezno z jamo;595;12;23;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B1;902;Košanski spodmol;5,3 - brezno z jamo;579;60;170;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B1;903;Ponikve pri Sajevčah;2,1 - jama stalni ponor;563;11;292;8-10;1800-2000;8-10;1600-1800;1;1,9;;;;;;0;;;;;;;;;;
B1;910;Golobinja 2 za Ostrim vrhom;5,3 - brezno z jamo;620;46;111;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;0;;;;;;;;;;
B1;911;Vodna jama v Lozi;4,2 - jama s stalnim tokom;560;75;7748;8-10;1800-2000;8-10;1600-1800;2;1,9;2,97;;;;;0;;;;;;;;;;
B1;918;Mala jama 1 pri Prestranku;5,3 - brezno z jamo;580;10;22;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;1;6,5;;;;;;;;;
B1;920;Ledenica pod Hrušico;5,5 - stopnjasto brezno, poševno brezno;750;30;58;6-8;2000-2600;8-10;2000-2600;1;1,73;;;;;;1;6,8;;;;;;;;;
B1;921;Suho brezno pri Mali Lazni;5,5 - stopnjasto brezno, poševno brezno;1110;155;226;6-8;2000-2600;6-8;2600-3200;0;;;;;;;2;5,55;6,6;;;;;;;;
B1;922;Jama pri Mali ledenici v Paradani;5,3 - brezno z jamo;1132;25;235;6-8;2600-3200;6-8;2600-3200;3;3,25;3,65;6;;;;2;5,55;6,05;;;;;;;;
B1;923;Ogrizkov spodmol;5,3 - brezno z jamo;568;14;145;8-10;1800-2000;8-10;1600-1800;1;1,9;;;;;;3;4,25;6,1;6,5;;;;;;;
B1;924;Županov spodmol;5,2 - vodoravna jama;575;9;93;8-10;1800-2000;8-10;1600-1800;1;1,9;;;;;;0;;;;;;;;;;
B1;925;Konjska jama;5,3 - brezno z jamo;615;36;137;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;2;5,9;6,5;;;;;;;;
B1;928;Jama Sv. Petra;5,3 - brezno z jamo;612;44;220;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;1;6,5;;;;;;;;;
B1;929;Jernejeva jama;5,2 - vodoravna jama;610;9;63;8-10;1800-2000;8-10;1600-1800;2;2,45;2,97;;;;;0;;;;;;;;;;
B2;937;Brezno na Zgornji Lenčajski cesti;5,6 - poševno in stopnjasto brezno;1226;184;244;4-6;2000-2600;4-6;2000-2600;1;5;;;;;;0;;;;;;;;;;
B2;938;Polina peč;5,2 - vodoravna jama;566;38;365;8-10;1600-1800;8-10;1600-1800;0;;;;;;;1;5,65;;;;;;;;;
B2;941;Jabčina;5,2 - vodoravna jama;585;8;107;8-10;1600-1800;8-10;1600-1800;0;;;;;;;1;5,65;;;;;;;;;
B2;942;Račiška pečina;5,2 - vodoravna jama;599;29;304;8-10;1600-1800;8-10;1600-1800;1;1,90;;;;;;0;;;;;;;;;;
B2;944;Pečinka;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;285;22;180;10-12;1600-1800;12-14;1500-1600;1;2,45;;;;;;0;;;;;;;;;;
B2;946;Valska jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;86;52;210;12-14;1400-1500;12-14;1400-1500;1;2,25;;;;;;2;4,25;4,30;;;;;;;;
B2;947;Vodnica;5,2 - vodoravna jama;244;21;193;12-14;1400-1500;12-14;1400-1500;1;2,25;;;;;;0;;;;;;;;;;
B2;948;Jama v doktorjevi ogradi;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;269;27;150;10-12;1500-1600;12-14;1400-1500;1;2,25;;;;;;0;;;;;;;;;;
B2;949;Pečina pod Medvejkom;5,2 - vodoravna jama;344;18;70;10-12;1500-1600;10-12;1400-1500;1;2,25;;;;;;0;;;;;;;;;;
B2;950;Belinca jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;380;28;260;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;;
B2;951;Velbenca;5,6 - poševno in stopnjasto brezno;363;48;63;10-12;1400-1500;10-12;1400-1500;1;2,25;;;;;;0;;;;;;;;;;
B2;952;Petnjak;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;515;102;285;8-10;1600-1800;10-12;1500-1600;3;1,90;2,45;2,97;;;;1;5,95;;;;;;;;;
B2;953;Čebarnica;5,6 - poševno in stopnjasto brezno;330;85;100;10-12;1600-1800;10-12;1400-1500;1;2,25;;;;;;0;;;;;;;;;;
B2;954;Jeriševa jama;5,6 - poševno in stopnjasto brezno;345;87;106;10-12;1600-1800;10-12;1400-1500;1;2,25;;;;;;0;;;;;;;;;;
B2;955;Kačna jama;4,2 - jama s stalnim tokom;435;280;15181;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;2;5,95;6,05;;;;;;;;
B2;956;Neverški spodmol;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;595;83;230;8-10;1600-1800;8-10;1600-1800;3;1,90;2,45;2,97;;;;1;5,55;;;;;;;;;
B2;957;Zavinka jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;645;58;190;8-10;1800-2000;8-10;1600-1800;2;1,90;2,45;;;;;0;;;;;;;;;;
B2;958;Gabranca;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;414;212;380;8-10;1600-1800;10-12;1500-1600;2;1,90;2,45;;;;;1;6,10;;;;;;;;;
B2;960;Žegnana jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;590;62;492;8-10;1800-2000;8-10;1600-1800;3;1,90;2,45;2,97;;;;3;5,90;6,05;6,50;;;;;;;
B2;961;Pivka jama pri Orehku;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;590;28;115;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;2;5,90;6,50;;;;;;;;
B2;963;Martinova jama pri Materiji;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;563;49;242;8-10;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;;
B2;965;Ulica Pečina;5,2 - vodoravna jama;580;27;118;8-10;1600-1800;8-10;1600-1800;1;2,25;;;;;;1;5,65;;;;;;;;;
B2;966;Finkova jama 1;5,2 - vodoravna jama;580;5;25;6-8;1500-1600;8-10;1500-1600;2;1,76;5,0;;;;;0;;;;;;;;;;
B2;968;Brezno pri Krnici;5,6 - poševno in stopnjasto brezno;952;85;115;6-8;2000-2600;6-8;2000-2600;0;;;;;;;2;5,50;6,60;;;;;;;;
B2;969;Mesarjevo brezno;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;622;65;113;8-10;2000-2600;8-10;1800-2000;2;1,77;1,84;;;;;2;5,55;7,50;;;;;;;;
B2;971;Cikova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;510;100;300;10-12;1500-1600;10-12;1500-1600;0;;;;;;;2;5,95;6,05;;;;;;;;
B2;973;Zimčeva jama;5,6 - poševno in stopnjasto brezno;217;33;42;12-14;1500-1600;12-14;1400-1500;0;;;;;;;2;4,25;4,30;;;;;;;;
